,0,1,MeanRecoveryTerm,AltMeanRecoveryTerm,Cluster
EL,15.125,21.444444444444443,12.541666666666666,5.111111111111111,-1
ELV,10.270833333333334,24.77777777777778,15.208333333333334,3.6666666666666665,-1
EMN,14.166666666666666,21.666666666666668,14.041666666666666,6.111111111111111,-1
EMR,11.291666666666666,17.666666666666668,15.625,7.0,-1
EOG,8.125,18.0,17.041666666666668,10.0,-1
EPAM,6.791666666666667,23.333333333333332,17.291666666666668,4.333333333333333,-1
EQR,9.5,19.666666666666668,15.708333333333334,9.11111111111111,-1
EQT,8.333333333333334,17.77777777777778,17.208333333333332,10.333333333333334,-1
ES,6.458333333333333,15.333333333333334,18.625,10.333333333333334,-1
ESS,8.125,18.77777777777778,18.0,8.444444444444445,-1
ETN,11.416666666666666,23.666666666666668,14.833333333333334,4.666666666666667,0
ETR,9.541666666666666,14.11111111111111,14.708333333333334,14.777777777777779,-1
EVRG,11.0,15.666666666666666,15.5,9.88888888888889,-1
EW,11.5,20.444444444444443,12.375,7.111111111111111,-1
EXR,8.6875,20.0,16.208333333333332,3.7777777777777777,-1
F,14.916666666666666,26.88888888888889,10.375,2.5555555555555554,-1
FBHS,10.5,24.11111111111111,14.916666666666666,3.5555555555555554,-1
FCX,11.208333333333334,16.0,14.041666666666666,10.88888888888889,-1
FDS,11.333333333333334,17.77777777777778,13.25,5.0,-1
FDX,10.416666666666666,19.444444444444443,15.5,10.0,-1
FE,8.416666666666666,13.88888888888889,16.958333333333332,13.555555555555555,-1
FIS,11.9375,17.22222222222222,14.833333333333334,8.555555555555555,-1
FLT,9.541666666666666,20.555555555555557,15.625,5.111111111111111,-1
FMC,12.041666666666666,24.555555555555557,13.5,4.444444444444445,-1
FRC,10.166666666666666,22.555555555555557,12.916666666666666,5.444444444444445,0
FRT,7.375,18.0,18.0,8.666666666666666,-1
FTV,10.583333333333334,23.555555555555557,14.833333333333334,4.333333333333333,0
GD,9.125,17.0,16.791666666666668,10.333333333333334,-1
GE,16.166666666666668,23.22222222222222,9.958333333333334,4.888888888888889,-1
GIS,12.875,14.0,13.875,10.555555555555555,-1
